DEBUG: 2021-12-10 00:40:07,640: News has been deleted.
INFO: 2021-12-10 00:40:07,641: 127.0.0.1 - - [10/Dec/2021 00:40:07] "GET /index?notif=Nigeria+records+268+new+COVID-19+cases%2C+toll+now+215%2C164+-+NIGERIAN+TRIBUNE HTTP/1.1" 200 -
INFO: 2021-12-10 00:40:07,659: 127.0.0.1 - - [10/Dec/2021 00:40:07] "[33mGET /static/images/ HTTP/1.1[0m" 404 -
DEBUG: 2021-12-10 00:40:14,475: Data is being requested from the API
DEBUG: 2021-12-10 00:40:14,480: Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
DEBUG: 2021-12-10 00:40:14,581: https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaName%3DExeter%3BareaType%3Dltla&structure=%7B%22date%22%3A%22date%22%2C%22areaName%22%3A%22areaName%22%2C%22newCasesBySpecimenDate%22%3A%22newCasesBySpecimenDate%22%7D&format=json&page=1 HTTP/1.1" 200 None
DEBUG: 2021-12-10 00:40:14,587: Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
DEBUG: 2021-12-10 00:40:14,675: https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaName%3DExeter%3BareaType%3Dltla&structure=%7B%22date%22%3A%22date%22%2C%22areaName%22%3A%22areaName%22%2C%22newCasesBySpecimenDate%22%3A%22newCasesBySpecimenDate%22%7D&format=json&page=2 HTTP/1.1" 204 0
DEBUG: 2021-12-10 00:40:14,681: Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
DEBUG: 2021-12-10 00:40:14,765: https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaName%3DUnited+Kingdom%3BareaType%3Doverview&structure=%7B%22date%22%3A%22date%22%2C%22areaName%22%3A%22areaName%22%2C%22newCasesBySpecimenDate%22%3A%22newCasesBySpecimenDate%22%2C%22cumDailyNsoDeathsByDeathDate%22%3A%22cumDailyNsoDeathsByDeathDate%22%2C%22hospitalCases%22%3A%22hospitalCases%22%7D&format=json&page=1 HTTP/1.1" 200 None
DEBUG: 2021-12-10 00:40:14,772: Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
DEBUG: 2021-12-10 00:40:14,858: https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaName%3DUnited+Kingdom%3BareaType%3Doverview&structure=%7B%22date%22%3A%22date%22%2C%22areaName%22%3A%22areaName%22%2C%22newCasesBySpecimenDate%22%3A%22newCasesBySpecimenDate%22%2C%22cumDailyNsoDeathsByDeathDate%22%3A%22cumDailyNsoDeathsByDeathDate%22%2C%22hospitalCases%22%3A%22hospitalCases%22%7D&format=json&page=2 HTTP/1.1" 204 0
DEBUG: 2021-12-10 00:40:14,860: The api has returned the data.
INFO: 2021-12-10 00:40:14,910: The data has been processed.
DEBUG: 2021-12-10 00:40:14,913: Starting new HTTPS connection (1): newsapi.org:443
DEBUG: 2021-12-10 00:40:15,096: https://newsapi.org:443 "GET /v2/top-headlines?q=Covid+COVID-19+coronavirus&language=en HTTP/1.1" 200 None
DEBUG: 2021-12-10 00:40:15,098: News has been succesfully retrieved.
DEBUG: 2021-12-10 00:40:15,098: News that has already been posted is in the list.
DEBUG: 2021-12-10 00:40:15,098: News that has already been posted is in the list.
DEBUG: 2021-12-10 00:40:15,098: News that has already been posted is in the list.
WARNING: 2021-12-10 00:40:15,099: No data has been requested for an update.
INFO: 2021-12-10 00:40:15,099: 127.0.0.1 - - [10/Dec/2021 00:40:15] "GET /index?update=00%3A41&two=test+1 HTTP/1.1" 200 -
INFO: 2021-12-10 00:40:15,116: 127.0.0.1 - - [10/Dec/2021 00:40:15] "[33mGET /static/images/ HTTP/1.1[0m" 404 -
DEBUG: 2021-12-10 00:40:21,660: Data is being requested from the API
DEBUG: 2021-12-10 00:40:21,664: Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
DEBUG: 2021-12-10 00:40:21,751: https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaName%3DExeter%3BareaType%3Dltla&structure=%7B%22date%22%3A%22date%22%2C%22areaName%22%3A%22areaName%22%2C%22newCasesBySpecimenDate%22%3A%22newCasesBySpecimenDate%22%7D&format=json&page=1 HTTP/1.1" 200 None
DEBUG: 2021-12-10 00:40:21,757: Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
DEBUG: 2021-12-10 00:40:21,842: https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaName%3DExeter%3BareaType%3Dltla&structure=%7B%22date%22%3A%22date%22%2C%22areaName%22%3A%22areaName%22%2C%22newCasesBySpecimenDate%22%3A%22newCasesBySpecimenDate%22%7D&format=json&page=2 HTTP/1.1" 204 0
DEBUG: 2021-12-10 00:40:21,848: Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
DEBUG: 2021-12-10 00:40:21,933: https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaName%3DUnited+Kingdom%3BareaType%3Doverview&structure=%7B%22date%22%3A%22date%22%2C%22areaName%22%3A%22areaName%22%2C%22newCasesBySpecimenDate%22%3A%22newCasesBySpecimenDate%22%2C%22cumDailyNsoDeathsByDeathDate%22%3A%22cumDailyNsoDeathsByDeathDate%22%2C%22hospitalCases%22%3A%22hospitalCases%22%7D&format=json&page=1 HTTP/1.1" 200 None
DEBUG: 2021-12-10 00:40:21,940: Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
DEBUG: 2021-12-10 00:40:22,027: https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaName%3DUnited+Kingdom%3BareaType%3Doverview&structure=%7B%22date%22%3A%22date%22%2C%22areaName%22%3A%22areaName%22%2C%22newCasesBySpecimenDate%22%3A%22newCasesBySpecimenDate%22%2C%22cumDailyNsoDeathsByDeathDate%22%3A%22cumDailyNsoDeathsByDeathDate%22%2C%22hospitalCases%22%3A%22hospitalCases%22%7D&format=json&page=2 HTTP/1.1" 204 0
DEBUG: 2021-12-10 00:40:22,029: The api has returned the data.
INFO: 2021-12-10 00:40:22,078: The data has been processed.
DEBUG: 2021-12-10 00:40:22,081: Starting new HTTPS connection (1): newsapi.org:443
DEBUG: 2021-12-10 00:40:22,496: https://newsapi.org:443 "GET /v2/top-headlines?q=Covid+COVID-19+coronavirus&language=en HTTP/1.1" 200 None
DEBUG: 2021-12-10 00:40:22,498: News has been succesfully retrieved.
DEBUG: 2021-12-10 00:40:22,498: News that has already been posted is in the list.
DEBUG: 2021-12-10 00:40:22,498: News that has already been posted is in the list.
DEBUG: 2021-12-10 00:40:22,498: News that has already been posted is in the list.
DEBUG: 2021-12-10 00:40:22,498: Covid updates are being scheduled.
INFO: 2021-12-10 00:40:22,498: Event: test 2 | Updating Covid Data | Updating News. Has been scheduled for 00:41.
INFO: 2021-12-10 00:40:22,499: 127.0.0.1 - - [10/Dec/2021 00:40:22] "GET /index?update=00%3A41&two=test+2&covid-data=covid-data&news=news HTTP/1.1" 200 -
INFO: 2021-12-10 00:40:22,519: 127.0.0.1 - - [10/Dec/2021 00:40:22] "[33mGET /static/images/ HTTP/1.1[0m" 404 -
DEBUG: 2021-12-10 00:40:29,192: Data is being requested from the API
DEBUG: 2021-12-10 00:40:29,196: Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
DEBUG: 2021-12-10 00:40:29,283: https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaName%3DExeter%3BareaType%3Dltla&structure=%7B%22date%22%3A%22date%22%2C%22areaName%22%3A%22areaName%22%2C%22newCasesBySpecimenDate%22%3A%22newCasesBySpecimenDate%22%7D&format=json&page=1 HTTP/1.1" 200 None
DEBUG: 2021-12-10 00:40:29,289: Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
DEBUG: 2021-12-10 00:40:29,382: https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaName%3DExeter%3BareaType%3Dltla&structure=%7B%22date%22%3A%22date%22%2C%22areaName%22%3A%22areaName%22%2C%22newCasesBySpecimenDate%22%3A%22newCasesBySpecimenDate%22%7D&format=json&page=2 HTTP/1.1" 204 0
DEBUG: 2021-12-10 00:40:29,388: Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
DEBUG: 2021-12-10 00:40:29,476: https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaName%3DUnited+Kingdom%3BareaType%3Doverview&structure=%7B%22date%22%3A%22date%22%2C%22areaName%22%3A%22areaName%22%2C%22newCasesBySpecimenDate%22%3A%22newCasesBySpecimenDate%22%2C%22cumDailyNsoDeathsByDeathDate%22%3A%22cumDailyNsoDeathsByDeathDate%22%2C%22hospitalCases%22%3A%22hospitalCases%22%7D&format=json&page=1 HTTP/1.1" 200 None
DEBUG: 2021-12-10 00:40:29,483: Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
DEBUG: 2021-12-10 00:40:29,571: https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaName%3DUnited+Kingdom%3BareaType%3Doverview&structure=%7B%22date%22%3A%22date%22%2C%22areaName%22%3A%22areaName%22%2C%22newCasesBySpecimenDate%22%3A%22newCasesBySpecimenDate%22%2C%22cumDailyNsoDeathsByDeathDate%22%3A%22cumDailyNsoDeathsByDeathDate%22%2C%22hospitalCases%22%3A%22hospitalCases%22%7D&format=json&page=2 HTTP/1.1" 204 0
DEBUG: 2021-12-10 00:40:29,573: The api has returned the data.
INFO: 2021-12-10 00:40:29,622: The data has been processed.
DEBUG: 2021-12-10 00:40:29,626: Starting new HTTPS connection (1): newsapi.org:443
DEBUG: 2021-12-10 00:40:29,792: https://newsapi.org:443 "GET /v2/top-headlines?q=Covid+COVID-19+coronavirus&language=en HTTP/1.1" 200 None
DEBUG: 2021-12-10 00:40:29,794: News has been succesfully retrieved.
DEBUG: 2021-12-10 00:40:29,794: News that has already been posted is in the list.
DEBUG: 2021-12-10 00:40:29,794: News that has already been posted is in the list.
DEBUG: 2021-12-10 00:40:29,794: News that has already been posted is in the list.
DEBUG: 2021-12-10 00:40:29,794: Covid updates are being scheduled.
INFO: 2021-12-10 00:40:29,794: Event: test 3 | Updating News. Has been scheduled for 00:41.
